Company,Status,Latitude,Longitude
Amazon,Existing,38.9877566,-77.4109249
Amazon,Existing,38.9869039,-77.4104756
Amazon,Existing,39.0240254,-77.4104387
Amazon,Location Unconfirmed,39.0186101,-77.4103285
Amazon,Existing,39.0242467,-77.4076246
Amazon,Location Unconfirmed,38.9525659,-77.5208752
Amazon,Location Unconfirmed,38.9202422,-77.4744514
Amazon,Location Unconfirmed,39.0243919,-77.4103177
Amazon,Existing,39.0218164,-77.4089753
Amazon,Existing,39.0240688,-77.4084047
Amazon,Location Unconfirmed,39.0253946,-77.4689064
Belmont Innovation Campus Data Center,Location Unconfirmed,39.07193046,-77.50845331
BlackChamber Group,Location Unconfirmed,38.9562687,-77.5377662
BlackChamber Group,Location Unconfirmed,39.0099469,-77.4415073
BRAMBLETON SHREVEPORT SOUTH DATA CENTER,Location Unconfirmed,38.9628721,-77.5356192
BROAD RUN HOLDINGS LLC,Location Unconfirmed,38.9523781,-77.5161466
Centersquare,Location Unconfirmed,38.9802351,-77.4434735
Charles S Kuhn/JK Landholdings II LLC,Location Unconfirmed,39.0526393,-77.5629577
CloudHQ,Location Unconfirmed,39.0034331,-77.474339
Compass Datacenters,Location Unconfirmed,39.0421861,-77.5402939
Compass Datacenters,Location Unconfirmed,39.0440905,-77.5397157
Aligned Data Centers,Existing,39.0107644642698,-77.4753986063116
Aligned Data Centers,Existing,39.010247,-77.4749719
Aligned Data Centers,Existing,39.0135957,-77.4722808
Aligned Data Centers,Existing,39.0128636,-77.4718613
Aligned Data Centers,Existing,39.0136995465679,-77.4711367034202
Aligned Data Centers,Existing,"39.0134911,",-77.4737116
Aligned Data Centers,Existing,"38.9910951,",-77.4445619
Aligned Data Centers,Existing,38.992862,-77.434239
CARPENTER DRIVE LLC/ CHARLES S KUHN,Existing,38.9912378,-77.4223262
Centersquare,Existing,39.021934,-77.453287
Centersquare,Existing,39.0217301,-77.4527198
CyrusOne,Location Unconfirmed,39.025714,-77.5304315
CyrusOne,Location Unconfirmed,39.032587,-77.5272268
CyrusOne,Location Unconfirmed,38.9843205,-77.507538
CyrusOne,Location Unconfirmed,39.0273338,-77.5062907
CyrusOne,Location Unconfirmed,39.0257771,-77.4976572
CyrusOne,Location Unconfirmed,38.9806839,-77.4768679
Centersquare,Existing,39.0138341,-77.4515907
CyrusOne,Location Unconfirmed,38.9791156,-77.4383728
Centersquare,Existing,38.9946389,-77.447877
Centersquare,Existing,38.9946389,-77.447877
Centersquare,Existing,38.9808368,-77.4444093
Centersquare,Existing,39.0239067,-77.4152049
Centersquare,Existing,39.0233041,-77.4132054
Centersquare,Existing,39.0246575,-77.4123765
Chuck Kuhn,Existing,38.9847059,-77.4820832
Chuck Kuhn,Existing,38.9830939,-77.479545
CloudHQ,Existing,38.9945492,-77.4869515
CloudHQ,Existing,39.0136754,-77.4803599
CloudHQ,Existing,39.0136754,-77.4803599
CloudHQ,Existing,39.0025482,-77.4739326
"Darab Ventures One, Two, Six LLC",Location Unconfirmed,39.0081722,-77.4804968
"Darab Ventures One, Two, Six LLC",Location Unconfirmed,39.0066369,-77.4775306
"Darab Ventures One, Two, Six LLC",Proposed,39.001999,-77.4686324
CloudHQ,Existing,39.010521017011,-77.4636644726616
CloudHQ,Existing,39.0103721,-77.4636213
CloudHQ,Existing,39.0122056,-77.4621967
DataBank,Location Unconfirmed,39.0142561,-77.4818375
CloudHQ,Existing,39.0112239,-77.4597636
DataBank,Location Unconfirmed,39.0183655,-77.4816251
DataBank,Location Unconfirmed,39.0182868,-77.478096
Cologix,Existing,39.0180041,-77.4593174
Compass Datacenters,Existing,39.0438576,-77.5412111
Compass Datacenters,Existing,39.0440905,-77.5397157
DCT DULLES DOWNS,Location Unconfirmed,38.9642133,-77.4918078
DCT DULLES DOWNS,Location Unconfirmed,38.9915042,-77.4508959
DCT DULLES DOWNS,Proposed,38.990931,-77.43911
Compass Datacenters,Existing,39.0415979,-77.5391874
Compass Datacenters,Existing,39.0425835,-77.5389498
Digital Realty,Location Unconfirmed,39.0081794,-77.4831318
Compass Datacenters,Existing,38.997455,-77.4468461
COPT Defense Properties,Existing,39.0225032,-77.4502281
Corscale Data Centers,Existing,39.044287185268,-77.4342237714189
CyrusOne,Existing,39.0263396,-77.4340334
Digital Realty,Location Unconfirmed,39.0177692,-77.5058184
CyrusOne,Existing,39.019629,-77.4503973
CyrusOne,Existing,39.0255497,-77.4347879
CyrusOne,Existing,39.0255497,-77.4347879
CyrusOne,Existing,38.9757366,-77.4344625
Digital Realty,Location Unconfirmed,39.0169213,-77.4808891
CyrusOne,Existing,38.9813071,-77.4267936
CyrusOne,Existing,38.9857584,-77.4265348
CyrusOne,Existing,38.984666,-77.425827
CyrusOne,Existing,38.9867129,-77.4244765
CyrusOne,Existing,39.0258119,-77.4163615
Digital Realty,Location Unconfirmed,38.9099573,-77.4752421
Digital Realty,Location Unconfirmed,39.0418129,-77.4744421
CyrusOne,Existing,39.0258503,-77.4141471
CyrusOne,Existing,39.0258503,-77.4141471
CyrusOne,Existing,39.0258503,-77.4141471
CyrusOne,Existing,39.0211136,-77.4133574
DataBank,Existing,39.0158838,-77.4831897
DataBank,Existing,39.015379,-77.4832551
DataBank,Existing,39.0152456,-77.4826867
DataBank,Existing,39.0183655,-77.4816251
DBT Data,Existing,39.0247955,-77.457962
Digital Realty,Location Unconfirmed,39.0192666,-77.4651291
Digital Realty,Location Unconfirmed,39.0149008,-77.4649682
DCT DULLES DOWNS,Existing,38.9913935,-77.436408
Digital Filigree,Existing,39.0136344,-77.4564677
Digital Realty,Existing,39.008364,-77.457973
Digital Realty,Existing,39.0055411,-77.4500275
Digital Realty,Existing,38.9605049,-77.4921755
Digital Realty,Existing,39.0067029,-77.4874906
Digital Realty,Existing,39.0015105,-77.4793105
Digital Realty,Existing,39.0011796,-77.4785135
Digital Realty,Existing,39.0020063,-77.4784295
